lsoa11,no2,pm10,so2
E01029461,8.797539234,12.66498327,1.384990573
E01029462,8.618984699,12.39138651,1.314765692
E01029463,9.444284941,12.9168907,1.325725574
E01029464,9.979966962,13.06678973,1.362852382
E01029465,9.799986362,13.06837463,1.352822661
E01029466,10.62477064,13.23608494,1.367079616
E01029467,7.829731169,11.85724081,1.36059104
E01029468,10.91227504,13.65789178,1.431538647
E01029469,11.21456733,13.63683104,1.39385765
E01029470,10.94559513,13.64713439,1.428565885
E01029471,11.27366987,13.52118734,1.410191811
E01029472,10.81198688,13.72317106,1.425565417
E01029473,8.725978633,12.50059136,1.265830353
E01029474,9.158665007,12.70268954,1.284157952
E01029475,10.90031453,13.28636492,1.432943101
E01029476,10.8340916,13.28698649,1.423494074
E01029477,10.20394712,13.40034406,1.323623538
E01029478,10.50961749,13.56952,1.50965031
E01029479,10.3716135,13.40809695,1.314526141
E01029480,9.477534524,12.98168042,1.277159283
E01029481,9.920860767,12.6892767,1.31189388
E01029482,9.77892828,12.83005667,1.296612978
E01029483,10.56424509,13.43545724,1.33092674
E01029484,10.73425104,13.48795065,1.36447434
E01029485,10.76797005,13.32364956,1.338498354
E01029486,10.84881288,13.04885415,1.431215364
E01029487,10.76165717,13.00999711,1.424640039
E01029488,11.19026614,13.54107537,1.352401797
E01029489,10.9970839,13.20095293,1.446057267
E01029490,11.27384612,13.09881825,1.471922669
E01029491,10.62415914,13.1367641,1.325700413
E01029492,10.43122914,13.13124077,1.318777122
E01029493,11.19410843,13.06277763,1.466903596
E01029494,11.15386469,13.06360305,1.458404995
E01029495,10.90492821,12.96776295,1.456691861
E01029496,11.37985841,13.31081389,1.49223328
E01029497,11.47277435,13.32799133,1.573298812
E01029498,9.231381087,12.67439356,1.250176163
E01029499,10.59861731,13.28497533,1.364076658
E01029500,10.57235119,13.27137565,1.358411452
E01029501,10.79191579,13.30448508,1.37559001
E01029502,11.65830661,13.64223315,1.288683757
E01029503,11.28658938,13.60837841,1.288613707
E01029504,12.16719294,13.66406107,1.271656573
E01029505,11.26407231,13.5748166,1.474766254
E01029506,11.37420126,13.4539499,1.50339086
E01029507,10.75325966,13.08640051,1.429917574
E01029508,10.48815956,13.18450127,1.376547265
E01029509,9.445291212,12.91230168,1.273571937
E01029511,10.54263449,13.10706286,1.320720188
E01029512,10.4130764,13.14954472,1.324245493
E01029513,12.72621775,13.39369822,1.387418807
E01029514,12.95194976,13.46586164,1.403330167
E01029515,9.961630574,12.84676093,1.337321379
E01029516,9.977134085,13.54107952,1.268994936
E01029517,10.6818364,13.41672325,1.26585802
E01029518,10.48025958,13.28120836,1.32073315
E01029519,10.74082369,13.33072417,1.332436407
E01029520,10.51653138,13.39658771,1.325376564
E01029521,10.85588159,13.51229392,1.357869426
E01029522,11.4859151,13.35804049,1.37805597
E01029523,12.1046771,13.66285534,1.426875436
E01029524,10.85887649,13.51026206,1.390652486
E01029525,10.70133368,13.39714052,1.378854998
E01029526,10.83631817,13.29519057,1.364061387
E01029527,11.25545009,13.32030075,1.474500868
E01029528,11.08529941,13.27267995,1.452628499
E01029529,11.61017036,13.38797569,1.540480018
E01029530,10.46664762,13.41584151,1.339464886
E01029531,10.30042171,13.34096753,1.285818945
E01029532,8.863598347,12.13910762,1.289688001
E01029533,9.426224232,12.06865549,1.294828117
E01029534,9.439397821,12.06041711,1.295732742
E01029535,9.183778695,12.04210972,1.293494753
E01029536,11.41794332,12.66574097,1.323441903
E01029537,12.34077277,12.69651792,1.359270035
E01029538,11.84556198,12.71113051,1.342079007
E01029539,11.88413506,12.61449384,1.346821287
E01029540,10.44984284,11.93957044,1.311011955
E01029541,10.33318411,11.91763186,1.314529782
E01029542,10.23978071,11.88833011,1.321321034
E01029543,10.39899081,11.90393498,1.312818037
E01029544,10.66108268,12.4201391,1.306079737
E01029545,11.16997707,12.58842495,1.318546106
E01029546,10.74530106,12.31773032,1.314312774
E01029547,11.31051462,12.54999071,1.327191107
E01029548,10.93373531,12.35782926,1.318009456
E01029549,10.7485042,12.5136804,1.257539341
E01029551,11.11360277,12.51267535,1.27540684
E01029552,11.81879028,12.61255661,1.340174675
E01029553,11.61133728,12.57838145,1.330520562
E01029554,11.43098002,12.53719659,1.322266478
E01029555,11.67285905,12.64732656,1.329389131
E01029556,8.732765754,12.12626807,1.260532151
E01029557,8.156820393,11.90281668,1.204008353
E01029558,11.26171055,12.40019779,1.329573743
E01029559,10.70824528,12.32270098,1.309219956
E01029560,11.36874655,12.44416665,1.332337953
E01029561,9.961312572,11.77204182,1.330897128
E01029562,9.809912716,11.75513383,1.335881979
E01029563,9.92305332,11.77446775,1.330131884
E01029564,10.24428176,11.85288077,1.326794623
E01029565,10.0705273,11.81801607,1.32424884
E01029566,11.30401013,12.5201852,1.318460601
E01029567,10.61503327,12.44828977,1.317276616
E01029568,10.9649143,12.48456654,1.320250332
E01029569,6.939758149,11.72932954,1.097718542
E01029570,7.910685268,11.92650726,1.131052348
E01029571,7.152684053,11.71714465,1.154949387
E01029572,7.067825488,11.6949257,1.153359835
E01029573,8.354860306,12.37940979,1.181201518
E01029574,8.026540027,11.94856128,1.153031447
E01029575,8.363561812,12.41413576,1.166842406
E01029576,8.774268786,12.34983084,1.224938062
E01029577,11.94689642,12.7053304,1.342885767
E01029578,11.90694001,12.72286064,1.338144447
E01029579,12.17900798,12.76056906,1.356394955
E01029580,12.17918868,12.77473236,1.353533948
E01029581,9.842019081,11.74657011,1.337540865
E01029582,9.606162786,11.71195436,1.347422034
E01029583,11.78940487,12.59495258,1.34498632
E01029584,12.35260727,12.63744294,1.371915248
E01029585,11.76865636,12.58675081,1.343581074
E01029586,10.80848073,12.08429417,1.313296316
E01029587,10.34047384,11.88087419,1.314651232
E01029588,10.26412298,11.86034837,1.317028147
E01029589,9.925171022,12.53317022,1.230120761
E01029590,9.927016176,12.47652136,1.22719877
E01029591,10.47508694,12.44414848,1.24762846
E01029593,10.48350645,12.42508734,1.31810468
E01029594,10.12314394,12.40765504,1.335909727
E01029595,10.04146413,11.96758599,1.309886973
E01029596,10.01225972,12.11115098,1.300625205
E01029597,10.01839972,12.0127967,1.306381724
E01029598,11.04497531,12.47775672,1.302284597
E01029599,10.79059977,12.42422396,1.284535501
E01029600,10.8278193,12.41612991,1.27445226
E01029601,9.576198896,12.37698174,1.296402097
E01029602,11.41467258,12.56669105,1.299557033
E01029603,11.81475173,12.71204369,1.322010248
E01029604,11.44491431,12.5891158,1.310103038
E01029605,11.14238698,12.46949794,1.279934379
E01029606,10.42615379,12.3899956,1.248734993
E01029607,10.69604253,12.43719654,1.25706748
E01029608,9.819792257,12.42725032,1.223567058
E01029609,12.20638825,12.65782052,1.365218195
E01029610,11.64648968,12.53845901,1.335307022
E01029611,12.21988472,12.67307739,1.373607755
E01029612,12.04425586,12.68376739,1.348960703
E01029613,11.28769188,13.11880341,1.336343241
E01029614,10.86396493,13.00743666,1.311806918
E01029615,11.25567117,12.93397916,1.325196899
E01029616,11.37556553,13.24506637,1.443926045
E01029617,9.474012597,12.79472656,1.258229283
E01029618,9.589368161,12.82097336,1.299549109
E01029619,10.68824339,13.07596064,1.474047005
E01029620,11.98458041,14.04334618,1.525367644
E01029621,11.28141795,13.90957885,1.451418532
E01029622,11.99992371,14.08636999,1.527369916
E01029623,12.0460679,14.21502177,1.533275847
E01029624,12.08291999,14.17229974,1.537198234
E01029625,12.02139505,13.93335488,1.584809421
E01029626,8.824483871,12.57866216,1.186895341
E01029627,10.34665718,12.8458648,1.282816562
E01029628,10.35619444,12.93652633,1.286107212
E01029629,9.961011863,12.72752237,1.259645798
E01029630,9.190460205,12.58888149,1.209502125
E01029631,10.79886198,12.7602973,1.293038368
E01029632,12.50000901,13.93159835,1.519988524
E01029633,12.7418987,13.83364979,1.494825443
E01029634,12.92046102,14.14240856,1.529631426
E01029635,11.89607525,14.04599667,1.478129119
E01029636,11.31699777,13.49063349,1.47667715
E01029637,11.81740618,13.47315168,1.424403548
E01029638,12.06331635,13.8294878,1.558095336
